STARNDARD	z
532	3.955489614
533	3.962301587
534	3.965277778
535	3.963293651
536	3.957467854
537	3.957467854
538	3.958456973
539	3.965243297
540	3.973161034
541	3.972222222
542	3.968316832
543	3.966403162
544	3.968379447
545	3.977205154
546	3.971400394
547	3.972249752
548	3.966369931
549	3.971258672
550	3.974206349
551	3.973240833
552	3.977159881
553	3.97415507
554	3.971230159
555	3.971201589
556	3.965243297
557	3.964250248
558	3.962301587
559	3.966135458
560	3.967196819
561	3.961309524
562	3.967261905
563	3.973080758
564	3.974129353
565	3.976143141
566	3.971287129
567	3.965346535
568	3.969215492
569	3.970149254
570	3.975099602
571	3.972222222
572	3.97029703
573	3.969276511
574	3.96735905
575	3.964461994
576	3.96735905
577	3.968410661
578	3.96735905
579	3.964497041
580	3.967391304
581	3.969367589
582	3.967423495
583	3.971315529
584	3.969397828
585	3.968472906
586	3.962598425
587	3.965517241
588	3.966469428
589	3.966403162
590	3.965449161
591	3.961500494
592	3.964461994
593	3.962450593
594	3.957593688
595	3.956735497
596	3.960591133
597	3.95862069
598	3.962524655
599	3.961538462
600	3.960552268
601	3.960629921
602	3.961576355
603	3.962524655
604	3.961614173
605	3.960629921
606	3.960629921
607	3.960629921
608	3.963582677
609	3.965517241
610	3.966469428
611	3.969367589
612	3.969397828
613	3.971372162
614	3.970384995
615	3.9743083
616	3.972304649
617	3.968441815
618	3.970355731
619	3.966469428
620	3.967423495
621	3.970355731
622	3.974257426
623	3.966436328
624	3.966403162
625	3.963474827
626	3.96541502
627	3.960552268
628	3.958742633
629	3.962598425
630	3.960629921
631	3.955752212
632	3.962561576
633	3.95952616
634	3.956435644
635	3.947834646
636	3.951724138
637	3.954590326
638	3.953694581
639	3.95280236
640	3.948969578
641	3.954724409
642	3.955752212
643	3.954724409
644	3.958579882
645	3.957593688
646	3.955752212
647	3.952662722
648	3.951628825
649	3.951581028
650	3.952522255
651	3.953465347
652	3.95256917
653	3.952522255
654	3.953511375
655	3.951533136
656	3.943675889
657	3.945598417
658	3.947472745
659	3.944554455
660	3.950544016
661	3.949554896
662	3.957298908
663	3.95734127
664	3.953557312
665	3.961386139
666	3.964356436
667	3.963366337
668	3.964356436
669	3.958579882
670	3.958498024
671	3.961386139
672	3.959446093
673	3.953465347
674	3.954455446
675	3.957509881
676	3.957509881
677	3.956521739
678	3.953603159
679	3.959365709
680	3.962189055
681	3.963293651
682	3.966336634
683	3.968379447
684	3.960552268
685	3.960629921
686	3.956735497
687	3.954857704
688	3.957551826
689	3.956521739
690	3.954590326
691	3.950690335
692	3.950641658
693	3.951628825
694	3.946640316
695	3.958291956
696	3.945705824
697	3.958374628
698	3.959285005
699	3.959325397
700	3.957383548
701	3.964250248
702	3.96531219
703	3.95952616
704	3.96333003
705	3.96333003
706	3.961386139
707	3.967196819
708	3.970238095
709	3.961538462
710	3.963438735
711	3.954590326
712	3.948768473
713	3.957467854
714	3.959446093
715	3.963438735
716	3.963510848
717	3.957593688
718	3.960474308
719	3.960474308
720	3.963402572
721	3.966403162
722	3.96248766
723	3.96735905
724	3.967423495
725	3.970355731
726	3.972277228
727	3.968253968
728	3.965277778
729	3.969246032
730	3.968285431
731	3.969246032
732	3.971144279
733	3.974180735
734	3.971230159
735	3.973187686
736	3.97415507
737	3.976143141
738	3.976166832
739	3.972222222
740	3.96432111
741	3.967196819
742	3.970178926
743	3.96812749
744	3.961347869
745	3.968159204
746	3.97020854
747	3.972249752
748	3.972139303
749	3.967294351
750	3.966303271
751	3.972222222
752	3.972249752
753	3.96735905
754	3.973214286
755	3.968285431
756	3.968285431
757	3.970238095
758	3.97020854
759	3.966336634
760	3.972166998
761	3.967229394
762	3.972139303
763	3.970238095
764	3.96735905
765	3.96933729
766	3.973240833
767	3.973214286
768	3.978131213
